Date,Convex,Convex,Convex,Apeswap,Convex,VVS,InsurACE,Convex,Francium,Francium,Autofarm,Curve,Beefy,Abracadabra,Trisolaris
,ETH,ETH,ETH,Polygon,ETH,Cronos,BSC,ETH,Solana,Solana,Cronos,FTM,Polygon,Arbitrum,Aurora
,MIM,Frax,ibCHF sCHF,matic dai,USDN,USDT USDC,BUSD,OUSD,USDC,Orca-USDC,USDT USDC,Geist,Mai-USDC,MIM,USDC-USDT
24/10/2021,61.75180642,4.55034674,92.88408214,60.10503033,18.36117959,91.37011098,27.62590038,19.8567678,39.13042413,76.63719575,32.83103999,95.54299479,64.38887745,93.79136234,93.73362805
25/10/2021,1.58277889,59.8301574,8.266734988,15.58422783,4.577939828,5.501873102,64.31807556,10.04724631,81.99748349,41.24643236,13.43998405,87.38627781,61.83734305,81.01394176,17.82197281
26/10/2021,69.47889278,53.27577647,59.28276278,80.75798053,89.0742695,44.26345574,98.21035815,63.18886818,56.59168928,28.08711951,19.88595888,32.52942173,29.76881504,21.89901039,67.61048811
27/10/2021,45.94183406,94.58098503,75.02931106,24.58470438,54.2450518,79.06712547,99.6788321,74.03061119,71.86107864,66.05500802,22.43475861,31.56215718,0.199815235,2.679757569,20.01362102
28/10/2021,31.98050388,98.91607784,6.022129973,54.84580012,83.9107195,39.56678516,60.26920536,16.70395835,49.24281237,43.21994801,84.07291364,92.93355709,18.98233059,94.93656764,98.21494718
29/10/2021,44.70369507,89.16426577,52.17858918,93.85207262,53.53147265,5.984040059,2.347035055,88.38517543,70.74514345,29.3968725,51.35428538,70.84295444,96.77285223,62.70720941,14.5644934
30/10/2021,4.432258104,7.832610187,83.82641957,99.50296224,99.87373762,63.63864474,89.06226638,89.78761621,46.21462068,50.77660835,84.57784482,73.55102077,55.52069895,27.41457305,47.33689827
1/11/2021,66.8707166,82.98351608,0.538208116,63.95113429,78.77496745,70.90785911,28.16245745,67.7982085,78.25669458,72.36969498,88.58807295,68.82074371,78.52207538,17.88990379,16.44389419
2/11/2021,7.919970679,16.46144472,54.70143453,39.79377899,79.51501943,22.51602338,69.45524636,94.51801188,67.53603241,79.33868603,71.92362677,40.62681116,11.35617278,95.92721604,61.77086842
3/11/2021,75.19196234,98.51177915,56.39241218,20.17639575,46.11290219,39.11713254,44.29630215,78.33087296,58.40832091,12.76696762,73.88772488,76.40559591,15.22918648,26.00705665,36.21276513
4/11/2021,77.59938448,78.1686714,19.04166867,71.38136151,17.84817777,65.10360566,58.71685652,91.30009395,84.61216717,11.60051737,35.08856254,70.96895682,21.62430243,41.88279258,56.21302491
5/11/2021,79.35692704,47.49709679,60.86109716,55.68703916,45.79921462,3.039112682,57.54286497,64.05536829,73.39852008,13.90701156,76.60415934,29.64628449,86.13422635,7.862651991,93.1928492
8/11/2021,34.72532502,16.97652979,90.58217854,24.13823133,78.77445713,58.22206419,96.36597321,23.96457019,85.05678348,98.98595551,34.01110326,49.15682602,79.49841255,16.59082767,3.142707847
9/11/2021,51.5157595,80.32117424,68.54677856,84.19406196,94.2849197,36.18901255,97.26592543,77.14555027,80.66389749,26.25126495,69.14211572,39.33782872,51.74230869,80.88828489,12.33531993
10/11/2021,40.21604952,80.14477829,7.396757377,5.560295435,92.49082695,48.50533822,47.46903108,61.11000589,1.061618348,51.52968786,53.85518539,59.64179282,95.9393461,55.1276248,73.4068673
