Date,Convex,Convex,Convex,Apeswap,Convex,VVS,InsurACE,Convex,Francium,Francium,Autofarm,Curve,Beefy,Abracadabra,Trisolaris
,ETH,ETH,ETH,Polygon,ETH,Cronos,BSC,ETH,Solana,Solana,Cronos,FTM,Polygon,Arbitrum,Aurora
,MIM,Frax,ibCHF sCHF,matic dai,USDN,USDT USDC,BUSD,OUSD,USDC,Orca-USDC,USDT USDC,Geist,Mai-USDC,MIM,USDC-USDT
24/10/2021,0.406691266,0.299764167,0.65464328,0.513293624,0.308444725,0.257286812,0.847650204,0.307405543,0.328099308,0.372776483,0.691148696,0.561479349,0.117175323,0.82001066,0.83882801
25/10/2021,0.208418773,0.541269539,0.504313796,0.691160605,0.70639902,0.155576338,0.648361465,0.282645873,0.797756888,0.433878933,0.761124096,0.741556083,0.704188948,0.917108028,0.522484267
26/10/2021,0.81612421,0.656676555,0.551026954,0.954356858,0.102653673,0.16585457,0.730025139,0.802553711,0.603160424,0.879815917,0.425711301,0.255301148,0.983585795,0.614089855,0.653794342
27/10/2021,0.349780459,0.363696827,0.768031621,0.664081312,0.324642629,0.918522915,0.986687456,0.237585118,0.673618786,0.824510534,0.795404186,0.108704629,0.348736357,0.348107548,0.994116153
28/10/2021,0.610437326,0.900596076,0.841415747,0.522592145,0.56468756,0.443994628,0.681859013,0.271790494,0.381676251,0.755704704,0.757871589,0.78435875,0.713758922,0.98724682,0.436656931
29/10/2021,0.404561139,0.676164844,0.203568131,0.361342175,0.897906452,0.447233462,0.772279302,0.871968944,0.834175496,0.120521891,0.658075098,0.500885738,0.444204612,0.215113947,0.191859404
30/10/2021,0.285102229,0.736663546,0.530186682,0.41406299,0.312523522,0.898095012,0.290412522,0.302358452,0.52580071,0.26513367,0.306944744,0.277204848,0.596647985,0.438185164,0.412191079
1/11/2021,0.050900053,0.123630494,0.59741505,0.548078517,0.371735074,0.965030273,0.86306915,0.796829395,0.110309438,0.320428668,0.39631586,0.385978923,0.900279287,0.124029972,0.195218115
2/11/2021,0.275766211,0.920150749,0.378230672,0.672014781,0.394619278,0.096576754,0.64276911,0.927787812,0.293005057,0.498615406,0.947826808,0.961970103,0.069348009,0.921798424,0.968272702
3/11/2021,0.478668805,0.937360237,0.986523732,0.78356359,0.25842818,0.958311141,0.443037211,0.805862031,0.76858038,0.464282303,0.847714127,0.1596411,0.236382958,0.419098075,0.603493215
4/11/2021,0.731895538,0.24091449,0.926278956,0.366297484,0.181020805,0.542442714,0.357598748,0.862342266,0.174823756,0.740577191,0.854339745,0.869636255,0.772352357,0.749354004,0.792291888
5/11/2021,0.537591662,0.871450095,0.382019185,0.77227699,0.693355202,0.779679279,0.000179144,0.158592593,0.837224759,0.199467123,0.670649489,0.26521053,0.137418657,0.024389907,0.165251648
8/11/2021,0.76400364,0.021621631,0.384172879,0.538478955,0.870846883,0.186116443,0.002348027,0.147404528,0.512930137,0.111836152,0.454063321,0.756321668,0.706474386,0.551889262,0.289588301
9/11/2021,0.05327525,0.7984648,0.106110849,0.564522763,0.393218501,0.927631065,0.972174892,0.163033912,0.341586502,0.637667793,0.760210725,0.432983846,0.183412553,0.293267742,0.64373734
10/11/2021,0.329007963,0.42059445,0.65505501,0.022229009,0.561538968,0.981281899,0.177106269,0.731866535,0.017495979,0.870231996,0.284249704,0.703817195,0.174336084,0.262864895,0.845766413
